run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine
20260623_203232_300106,web_search,0,web_search,1,0,0,0.004373,0.996480
20260623_203232_300106,web_search,0,web_search,1,0,1,0.006094,0.998883
20260623_203232_300106,web_search,0,web_search,1,0,2,0.005863,0.998782
20260623_203232_300106,web_search,0,web_search,1,0,3,0.008325,0.995527
20260623_203232_300106,web_search,0,web_search,1,0,4,0.004390,0.999878
20260623_203232_300106,web_search,0,web_search,1,0,5,0.004966,0.993211
20260623_203232_300106,web_search,0,web_search,1,0,6,0.004169,0.997646
20260623_203232_300106,web_search,0,web_search,1,0,7,0.004714,0.999382
20260623_203232_300106,web_search,0,web_search,1,1,0,0.009281,0.999008
20260623_203232_300106,web_search,0,web_search,1,1,1,0.007982,0.999266
20260623_203232_300106,web_search,0,web_search,1,1,2,0.006422,0.994116
20260623_203232_300106,web_search,0,web_search,1,1,3,0.012124,0.996008
20260623_203232_300106,web_search,0,web_search,1,1,4,0.008296,0.996849
20260623_203232_300106,web_search,0,web_search,1,1,5,0.007176,0.998676
20260623_203232_300106,web_search,0,web_search,1,1,6,0.009592,0.990945
20260623_203232_300106,web_search,0,web_search,1,1,7,0.012971,0.999413
20260623_203232_300106,web_search,0,web_search,1,2,0,0.028536,0.978874
20260623_203232_300106,web_search,0,web_search,1,2,1,0.016429,0.990452
20260623_203232_300106,web_search,0,web_search,1,2,2,0.012384,0.983717
20260623_203232_300106,web_search,0,web_search,1,2,3,0.014858,0.987770
20260623_203232_300106,web_search,0,web_search,1,2,4,0.017639,0.996648
20260623_203232_300106,web_search,0,web_search,1,2,5,0.013770,0.989021
20260623_203232_300106,web_search,0,web_search,1,2,6,0.013856,0.984954
20260623_203232_300106,web_search,0,web_search,1,2,7,0.019043,0.987537
20260623_203232_300106,web_search,0,web_search,1,3,0,0.031749,0.983447
20260623_203232_300106,web_search,0,web_search,1,3,1,0.012889,0.996266
20260623_203232_300106,web_search,0,web_search,1,3,2,0.022240,0.977342
20260623_203232_300106,web_search,0,web_search,1,3,3,0.022054,0.984382
20260623_203232_300106,web_search,0,web_search,1,3,4,0.021908,0.974941
20260623_203232_300106,web_search,0,web_search,1,3,5,0.018263,0.991913
20260623_203232_300106,web_search,0,web_search,1,3,6,0.015713,0.987711
20260623_203232_300106,web_search,0,web_search,1,3,7,0.022597,0.980134
20260623_203232_300106,web_search,0,web_search,1,4,0,0.040378,0.975897
20260623_203232_300106,web_search,0,web_search,1,4,1,0.026784,0.987158
20260623_203232_300106,web_search,0,web_search,1,4,2,0.026904,0.998715
20260623_203232_300106,web_search,0,web_search,1,4,3,0.027216,0.982684
20260623_203232_300106,web_search,0,web_search,1,4,4,0.031140,0.979075
20260623_203232_300106,web_search,0,web_search,1,4,5,0.023752,0.991284
20260623_203232_300106,web_search,0,web_search,1,4,6,0.018552,0.986559
20260623_203232_300106,web_search,0,web_search,1,4,7,0.016959,0.991157
20260623_203232_300106,web_search,0,web_search,1,5,0,0.059291,0.994520
20260623_203232_300106,web_search,0,web_search,1,5,1,0.035209,0.989584
20260623_203232_300106,web_search,0,web_search,1,5,2,0.021556,0.988544
20260623_203232_300106,web_search,0,web_search,1,5,3,0.052146,0.995362
20260623_203232_300106,web_search,0,web_search,1,5,4,0.026296,0.998327
20260623_203232_300106,web_search,0,web_search,1,5,5,0.024054,0.991336
20260623_203232_300106,web_search,0,web_search,1,5,6,0.044427,0.987077
20260623_203232_300106,web_search,0,web_search,1,5,7,0.029350,0.990687
20260623_203232_300106,web_search,0,web_search,1,6,0,0.079365,0.957437
20260623_203232_300106,web_search,0,web_search,1,6,1,0.058976,0.983615
20260623_203232_300106,web_search,0,web_search,1,6,2,0.083463,0.904248
20260623_203232_300106,web_search,0,web_search,1,6,3,0.037825,0.950689
20260623_203232_300106,web_search,0,web_search,1,6,4,0.037494,0.988263
20260623_203232_300106,web_search,0,web_search,1,6,5,0.065626,0.979452
20260623_203232_300106,web_search,0,web_search,1,6,6,0.064728,0.970727
20260623_203232_300106,web_search,0,web_search,1,6,7,0.041403,0.980849
20260623_203232_300106,web_search,0,web_search,1,7,0,0.119173,0.988129
20260623_203232_300106,web_search,0,web_search,1,7,1,0.083438,0.982216
20260623_203232_300106,web_search,0,web_search,1,7,2,0.086447,0.994891
20260623_203232_300106,web_search,0,web_search,1,7,3,0.060863,0.974655
20260623_203232_300106,web_search,0,web_search,1,7,4,0.088680,0.990548
20260623_203232_300106,web_search,0,web_search,1,7,5,0.054018,0.982096
20260623_203232_300106,web_search,0,web_search,1,7,6,0.127372,0.975449
20260623_203232_300106,web_search,0,web_search,1,7,7,0.089575,0.992339
20260623_203232_300106,web_search,0,web_search,1,8,0,0.103110,0.991804
20260623_203232_300106,web_search,0,web_search,1,8,1,0.169622,0.956630
20260623_203232_300106,web_search,0,web_search,1,8,2,0.105197,0.992919
20260623_203232_300106,web_search,0,web_search,1,8,3,0.118286,0.982394
20260623_203232_300106,web_search,0,web_search,1,8,4,0.149868,0.975975
20260623_203232_300106,web_search,0,web_search,1,8,5,0.067911,0.993460
20260623_203232_300106,web_search,0,web_search,1,8,6,0.073674,0.992405
20260623_203232_300106,web_search,0,web_search,1,8,7,0.078883,0.993298
20260623_203232_300106,web_search,0,web_search,1,9,0,0.128781,0.984138
20260623_203232_300106,web_search,0,web_search,1,9,1,0.076390,0.995336
20260623_203232_300106,web_search,0,web_search,1,9,2,0.108913,0.986350
20260623_203232_300106,web_search,0,web_search,1,9,3,0.088208,0.991284
20260623_203232_300106,web_search,0,web_search,1,9,4,0.079183,0.990328
20260623_203232_300106,web_search,0,web_search,1,9,5,0.068563,0.981825
20260623_203232_300106,web_search,0,web_search,1,9,6,0.076882,0.986238
20260623_203232_300106,web_search,0,web_search,1,9,7,0.149768,0.982074
20260623_203232_300106,web_search,0,web_search,1,10,0,0.108292,0.993153
20260623_203232_300106,web_search,0,web_search,1,10,1,0.157802,0.944494
20260623_203232_300106,web_search,0,web_search,1,10,2,0.073372,0.988168
20260623_203232_300106,web_search,0,web_search,1,10,3,0.076644,0.968118
20260623_203232_300106,web_search,0,web_search,1,10,4,0.109766,0.989519
20260623_203232_300106,web_search,0,web_search,1,10,5,0.111939,0.993213
20260623_203232_300106,web_search,0,web_search,1,10,6,0.172389,0.918854
20260623_203232_300106,web_search,0,web_search,1,10,7,0.183338,0.965261
20260623_203232_300106,web_search,0,web_search,1,11,0,0.092010,0.981241
20260623_203232_300106,web_search,0,web_search,1,11,1,0.221208,0.945338
20260623_203232_300106,web_search,0,web_search,1,11,2,0.111645,0.983731
20260623_203232_300106,web_search,0,web_search,1,11,3,0.119127,0.980076
20260623_203232_300106,web_search,0,web_search,1,11,4,0.212026,0.957288
20260623_203232_300106,web_search,0,web_search,1,11,5,0.079014,0.979734
20260623_203232_300106,web_search,0,web_search,1,11,6,0.098534,0.986460
20260623_203232_300106,web_search,0,web_search,1,11,7,0.145070,0.963715
20260623_203232_300106,web_search,0,web_search,1,12,0,0.175100,0.975209
20260623_203232_300106,web_search,0,web_search,1,12,1,0.113052,0.980022
20260623_203232_300106,web_search,0,web_search,1,12,2,0.211132,0.990893
20260623_203232_300106,web_search,0,web_search,1,12,3,0.162811,0.979401
20260623_203232_300106,web_search,0,web_search,1,12,4,0.109833,0.990780
20260623_203232_300106,web_search,0,web_search,1,12,5,0.160504,0.972943
20260623_203232_300106,web_search,0,web_search,1,12,6,0.110565,0.986851
20260623_203232_300106,web_search,0,web_search,1,12,7,0.135857,0.980779
20260623_203232_300106,web_search,0,web_search,1,13,0,0.206622,0.988447
20260623_203232_300106,web_search,0,web_search,1,13,1,0.151008,0.992734
20260623_203232_300106,web_search,0,web_search,1,13,2,0.194077,0.991844
20260623_203232_300106,web_search,0,web_search,1,13,3,0.228995,0.979094
20260623_203232_300106,web_search,0,web_search,1,13,4,0.161494,0.976337
20260623_203232_300106,web_search,0,web_search,1,13,5,0.137754,0.972404
20260623_203232_300106,web_search,0,web_search,1,13,6,0.222860,0.991322
20260623_203232_300106,web_search,0,web_search,1,13,7,0.212408,0.966037
20260623_203232_300106,web_search,0,web_search,1,14,0,0.142923,0.977891
20260623_203232_300106,web_search,0,web_search,1,14,1,0.137479,0.971976
20260623_203232_300106,web_search,0,web_search,1,14,2,0.122774,0.994119
20260623_203232_300106,web_search,0,web_search,1,14,3,0.222214,0.983689
20260623_203232_300106,web_search,0,web_search,1,14,4,0.383811,0.987902
20260623_203232_300106,web_search,0,web_search,1,14,5,0.229606,0.976305
20260623_203232_300106,web_search,0,web_search,1,14,6,0.209702,0.990372
20260623_203232_300106,web_search,0,web_search,1,14,7,0.128825,0.991052
20260623_203232_300106,web_search,0,web_search,1,15,0,0.229398,0.983305
20260623_203232_300106,web_search,0,web_search,1,15,1,0.165746,0.991015
20260623_203232_300106,web_search,0,web_search,1,15,2,0.151824,0.989289
20260623_203232_300106,web_search,0,web_search,1,15,3,0.169236,0.988176
20260623_203232_300106,web_search,0,web_search,1,15,4,0.302846,0.981956
20260623_203232_300106,web_search,0,web_search,1,15,5,0.348807,0.966560
20260623_203232_300106,web_search,0,web_search,1,15,6,0.182689,0.988089
20260623_203232_300106,web_search,0,web_search,1,15,7,0.176908,0.987725
