run_id,tool_a,call_a,tool_b,call_b,layer,head,l2,cosine,input_tokens_a,input_tokens_b,overlap_tokens,overlap_pct_a,overlap_pct_b
20260630_223013_763974,web_search,0,,1,0,0,0.169231,0.266616,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,1,0.182310,0.638954,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,2,0.196463,0.647154,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,3,0.252410,0.569094,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,4,0.164651,0.879497,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,5,0.148332,0.323314,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,6,0.150077,0.397862,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,0,7,0.181080,0.668899,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,0,0.290468,0.378591,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,1,0.142452,0.361709,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,2,0.196534,0.182246,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,3,0.295503,0.084131,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,4,0.197276,0.516203,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,5,0.191259,0.461828,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,6,0.240328,0.490230,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,1,7,0.242079,0.873450,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,0,0.353574,0.037892,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,1,0.332659,0.182726,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,2,0.307851,0.133928,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,3,0.271146,0.413644,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,4,0.308935,0.104747,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,5,0.306158,0.215337,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,6,0.203923,0.485752,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,2,7,0.297453,0.356296,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,0,0.464710,0.008856,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,1,0.302612,0.371927,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,2,0.316280,0.267136,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,3,0.394699,0.083180,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,4,0.377900,0.042270,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,5,0.336861,0.555752,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,6,0.278042,0.380769,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,3,7,0.383885,0.173800,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,0,0.378607,0.270839,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,1,0.418854,-0.016308,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,2,0.363593,0.774673,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,3,0.455302,0.266797,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,4,0.407088,0.300579,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,5,0.351818,0.292035,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,6,0.298813,0.412212,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,4,7,0.357351,0.382969,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,5,0,0.465972,0.579597,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,5,1,0.378813,0.489610,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,5,2,0.423264,0.294974,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,5,3,0.395242,0.778376,1903,3182,1903,100.00,59.81
20260630_223013_763974,web_search,0,,1,5,4,0.431180,0.575491,1903,3182,1903,100.00,59.81
